[2026-02-15 16:12:08] Conectado ao CLP na porta COM2.
[2026-02-15 16:12:11] Monitor iniciado para 12 TAGs.
[2026-02-15 16:13:29] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [65, 0].
[2026-02-15 16:13:29] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [65, 0].
[2026-02-15 16:13:30] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [66, 0].
[2026-02-15 16:13:30] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [66, 0].
[2026-02-15 16:13:30] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [67, 0].
[2026-02-15 16:13:31] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [67, 0].
[2026-02-15 16:13:32] Alteracao salva: TAG PECAPH29 (DM 0..1) = [67, 0].
[2026-02-15 16:13:32] Alteracao salva: TAG PECAPH30 (DM 2..3) = [69, 0].
[2026-02-15 16:13:33] Alteracao salva: TAG PECAPH31 (DM 4..5) = [69, 0].
[2026-02-15 16:13:33] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [69, 0].
[2026-02-15 16:13:33] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [70, 0].
[2026-02-15 16:13:34] Alteracao salva: TAG PECAROLLERCARGA42 (DM 10..11) = [70, 0].
[2026-02-15 16:13:34] Alteracao salva: TAG PECAROLLERDESC42 (DM 12..13) = [70, 0].
[2026-02-15 16:13:34] Alteracao salva: TAG PECAROLLERCARGA43 (DM 14..15) = [71, 0].
[2026-02-15 16:13:35] Alteracao salva: TAG PECAROLLERDESC43 (DM 16..17) = [71, 0].
[2026-02-15 16:13:35] Alteracao salva: TAG QUALIDADE41 (DM 18..19) = [71, 0].
[2026-02-15 16:13:36] Alteracao salva: TAG QUALIDADE42 (DM 20..21) = [72, 0].
[2026-02-15 16:13:36] Alteracao salva: TAG QUALIDADE43 (DM 22..23) = [72, 0].
[2026-02-15 16:13:37] Alteracao salva: TAG PECAPH29 (DM 0..1) = [73, 0].
[2026-02-15 16:13:38] Alteracao salva: TAG PECAPH30 (DM 2..3) = [80, 0].
[2026-02-15 16:13:38] Alteracao salva: TAG PECAPH31 (DM 4..5) = [80, 0].
[2026-02-15 16:13:38] Alteracao salva: TAG PECAROLLERCARGA41 (DM 6..7) = [81, 0].
[2026-02-15 16:13:39] Alteracao salva: TAG PECAROLLERDESC41 (DM 8..9) = [81, 0].
